"RecordID","ProgramStudi","Gender","DeviceUtama","ModaBelajar","Kepuasan","IntensitasBelajar","DurasiBelajarJam","PaketID"
655302,"Matematika","L","Smartphone","Buku","Puas","Rendah",6.2,"ADK1-070181B0"
456806,"Sistem Informasi","L","Laptop","Diskusi","Cukup","Rendah",1.9,"ADK1-070181B0"
880799,"Matematika","L","Laptop","Video","Puas","Tinggi",10.8,"ADK1-070181B0"
219373,"Sains Data","P","Laptop","Video",,"Rendah",0.8,"ADK1-070181B0"
198257,"Sistem Informasi","P","Laptop","Diskusi","Puas","Tinggi",8.9,"ADK1-070181B0"
923065,"Sains Aktuaria","P","Tablet","Diskusi","Sangat Puas","Sedang",7.3,"ADK1-070181B0"
943257,"Sains Data","L","Tablet","Buku","Tidak Puas","Sedang",8.1,"ADK1-070181B0"
512337,"Matematika","L","Tablet","Praktik","Sangat Puas","Rendah",6.2,"ADK1-070181B0"
472736,"Sistem Informasi","L","Tablet","Praktik","Tidak Puas","Sedang",7.5,"ADK1-070181B0"
443050,"Sains Aktuaria","L","Tablet","Praktik","Cukup","Sedang",5.3,"ADK1-070181B0"
364777,"Sains Data","L","Tablet","Diskusi","Sangat Puas","Tinggi",10.3,"ADK1-070181B0"
432510,"Matematika","P","Laptop","Diskusi","Puas","Tinggi",10.1,"ADK1-070181B0"
663207,"Sistem Informasi","L","Tablet","Diskusi","Puas","Tinggi",9.2,"ADK1-070181B0"
715379,"Sains Aktuaria","L","Tablet","Diskusi","Cukup","Tinggi",6.8,"ADK1-070181B0"
625724,"Matematika","L","Tablet","Praktik","Puas","Tinggi",11.2,"ADK1-070181B0"
442912,"Sains Aktuaria","L","Tablet","Praktik","Sangat Puas","Tinggi",12.5,"ADK1-070181B0"
185707,"Sistem Informasi","P","Tablet","Video","Puas","Tinggi",11.7,"ADK1-070181B0"
479279,"Sistem Informasi","L","Laptop","Video","Puas","Sedang",5.9,"ADK1-070181B0"
441344,"Sistem Informasi","L","Tablet","Diskusi","Puas","Rendah",8.7,"ADK1-070181B0"
121761,"Matematika","P","Tablet","Buku","Cukup","Tinggi",8.9,"ADK1-070181B0"
360716,"Sistem Informasi","L","Laptop","Buku","Cukup","Rendah",3.9,"ADK1-070181B0"
332008,"Sistem Informasi","P","Smartphone","Buku","Cukup","Rendah",4.4,"ADK1-070181B0"
215836,"Matematika","P","Tablet","Buku","Sangat Puas","Tinggi",8.1,"ADK1-070181B0"
328397,"Sistem Informasi","L","Tablet","Diskusi",,"Sedang",6.5,"ADK1-070181B0"
815959,"Sains Aktuaria","P","Tablet","Diskusi","Tidak Puas","Rendah",7.8,"ADK1-070181B0"
306422,"Sains Data","L","Tablet","Diskusi","Puas","Tinggi",11.3,"ADK1-070181B0"
914912,"Sistem Informasi","L","Smartphone","Diskusi","Cukup","Rendah",1.8,"ADK1-070181B0"
231878,"Sains Aktuaria","L","Tablet","Praktik","Cukup","Sedang",4.8,"ADK1-070181B0"
907883,"Sains Aktuaria","L","Tablet","Buku","Cukup","Rendah",4.5,"ADK1-070181B0"
132019,"Matematika","L","Tablet","Diskusi","Tidak Puas","Sedang",2.8,"ADK1-070181B0"
563488,"Sains Aktuaria","L","Tablet","Praktik","Puas","Tinggi",10.6,"ADK1-070181B0"
404944,"Sistem Informasi","L","Tablet","Praktik","Cukup","Rendah",5.4,"ADK1-070181B0"
462636,"Matematika","L","Tablet","Buku","Sangat Puas","Sedang",7,"ADK1-070181B0"
571374,"Sistem Informasi","L","Tablet","Video","Sangat Puas","Tinggi",13.5,"ADK1-070181B0"
901552,"Matematika","P","Smartphone","Buku","Tidak Puas","Tinggi",7.9,"ADK1-070181B0"
998078,"Sains Data","P","Tablet","Buku","Cukup","Sedang",8,"ADK1-070181B0"
826390,"Sains Data","L","Tablet","Praktik","Tidak Puas","Sedang",7.6,"ADK1-070181B0"
421908,"Sains Data","P","Laptop","Buku","Puas","Sedang",5.9,"ADK1-070181B0"
877270,"Sistem Informasi","L","Tablet","Praktik","Tidak Puas","Rendah",5.1,"ADK1-070181B0"
254886,"Sistem Informasi","P","Laptop","Video","Sangat Puas","Rendah",7.2,"ADK1-070181B0"
750870,"Matematika","L","Tablet","Praktik","Puas","Sedang",8.2,"ADK1-070181B0"
254415,"Sistem Informasi","P","Laptop","Buku","Sangat Puas","Tinggi",9.1,"ADK1-070181B0"
916792,"Sains Aktuaria","P","Tablet","Diskusi","Sangat Puas","Sedang",6,"ADK1-070181B0"
208783,"Sains Aktuaria","P","Tablet","Buku","Puas","Sedang",4.9,"ADK1-070181B0"
396741,"Sains Aktuaria","L","Tablet","Video","Puas","Sedang",4.8,"ADK1-070181B0"
830203,"Sains Aktuaria","L","Laptop","Buku","Cukup","Sedang",6.5,"ADK1-070181B0"
888014,"Sistem Informasi","L","Tablet","Video","Cukup","Tinggi",6.3,"ADK1-070181B0"
360765,"Sistem Informasi","P","Smartphone","Diskusi","Sangat Puas","Sedang",10.1,"ADK1-070181B0"
263060,"Sains Aktuaria","P","Tablet","Praktik","Puas","Tinggi",11.6,"ADK1-070181B0"
318518,"Sistem Informasi","L","Tablet","Diskusi","Cukup","Sedang",4,"ADK1-070181B0"
389154,"Sistem Informasi","P","Tablet","Diskusi","Tidak Puas","Rendah",3,"ADK1-070181B0"
501651,"Sistem Informasi","L","Smartphone","Buku","Sangat Puas","Sedang",7,"ADK1-070181B0"
302650,"Sains Data","P","Tablet","Praktik","Tidak Puas","Sedang",7.4,"ADK1-070181B0"
165601,"Matematika","P","Tablet","Buku","Puas","Tinggi",6.1,"ADK1-070181B0"
451365,"Matematika","L","Tablet","Buku","Sangat Puas","Rendah",3,"ADK1-070181B0"
186712,"Sistem Informasi","P","Smartphone","Diskusi","Cukup","Sedang",5.1,"ADK1-070181B0"
368118,"Sistem Informasi","P","Laptop","Diskusi","Puas","Rendah",5.5,"ADK1-070181B0"
555212,"Sains Aktuaria","P","Tablet","Video","Puas","Tinggi",10.3,"ADK1-070181B0"
618469,"Sistem Informasi","L","Laptop","Buku","Puas","Tinggi",6.4,"ADK1-070181B0"
705969,"Sistem Informasi","P","Laptop","Buku","Cukup","Sedang",7.3,"ADK1-070181B0"
710753,"Matematika","L","Tablet","Praktik","Cukup","Sedang",5.2,"ADK1-070181B0"
908454,"Sains Aktuaria","P","Tablet","Diskusi","Puas","Tinggi",10.9,"ADK1-070181B0"
863858,"Sistem Informasi","L","Tablet","Buku","Puas","Sedang",9.2,"ADK1-070181B0"
257432,"Sistem Informasi","L","Laptop","Buku","Cukup","Tinggi",11,"ADK1-070181B0"
827241,"Sistem Informasi","L","Laptop","Diskusi","Puas","Tinggi",10.3,"ADK1-070181B0"
129975,"Sistem Informasi","L","Tablet","Diskusi","Cukup","Rendah",2.4,"ADK1-070181B0"
396419,"Sains Aktuaria","L","Tablet","Video","Tidak Puas","Rendah",3.2,"ADK1-070181B0"
955848,"Sistem Informasi","P","Tablet","Diskusi","Sangat Puas","Tinggi",10.1,"ADK1-070181B0"
517854,"Sains Data","L","Tablet","Diskusi","Puas","Rendah",5,"ADK1-070181B0"
993382,"Sains Data","L","Tablet","Diskusi","Sangat Puas","Rendah",6.8,"ADK1-070181B0"
933252,"Matematika","L","Tablet","Praktik","Cukup","Rendah",6.1,"ADK1-070181B0"
791163,"Sains Data","L","Tablet","Diskusi","Sangat Puas","Tinggi",9.7,"ADK1-070181B0"
904240,"Sains Aktuaria","L","Tablet","Diskusi","Tidak Puas",,5,"ADK1-070181B0"
754277,"Sains Data","P","Tablet","Diskusi","Puas","Tinggi",9.7,"ADK1-070181B0"
663670,"Sistem Informasi","L","Smartphone","Video","Sangat Puas","Sedang",8,"ADK1-070181B0"
733159,"Sains Aktuaria","L","Laptop","Diskusi","Sangat Puas","Sedang",9,"ADK1-070181B0"
298333,"Sains Aktuaria","P","Laptop","Diskusi","Cukup","Rendah",4,"ADK1-070181B0"
477092,"Sistem Informasi","L","Smartphone","Diskusi","Tidak Puas","Sedang",7.5,"ADK1-070181B0"
149178,"Sistem Informasi","L","Laptop","Buku","Sangat Puas","Tinggi",10.4,"ADK1-070181B0"
972507,"Sains Aktuaria","L","Laptop","Buku","Puas","Rendah",3.8,"ADK1-070181B0"
644983,"Matematika","P",,"Video","Puas","Rendah",3.2,"ADK1-070181B0"
361615,"Sistem Informasi","P","Tablet","Diskusi","Cukup","Rendah",7.6,"ADK1-070181B0"
